Question,A,B,C,D,TRUE,Topic,Set,TrueProb,AnswerProb,IsCorrect,probs_1,probs_2,probs_3,probs_4,question_id,bin_wide,bin,Answer,Explanation,Explanation_with_prefix,Topic_number,bin_wide_number,question_index
Iron(III) hydroxide has Ksp = 1.6 × 10^-39. What is the molar solubility of this compound?,8.8 × 10^-11 M,2.0 × 10^-10 M,7.4 × 10^-14 mol/L,9.4 × 10^-6 mol/L,A,high_school_chemistry,test,0.387822631,0.4463811121,0,0.387822631,0.1449187338,0.4463811121,0.02087752306,9532,"(0.4,0.6]",0.45,C," 
    The molar solubility of a compound is the concentration of the compound in moles per liter (mol/L) when it is in a saturated solution. In other words, it is the maximum amount of the compound that can dissolve in a given amount of solvent at a specific temperature.

    To find the molar solubility of iron(III) hydroxide, we need to use the Ksp expression: Ksp = [Fe3+][OH-]^3. Since the compound is iron(III) hydroxide, we know that the concentration of Fe3+ ions is equal to the concentration of OH- ions. Therefore, we can rewrite the Ksp expression as: Ksp = [Fe3+]^2[OH-]^2.

    We also know that the molar solubility of a compound is equal to the concentration of the compound in moles per liter (mol/L). Therefore, we can rewrite the Ksp expression as: Ksp = [Fe3+]^2[solubility]^2.

    To solve for the molar solubility, we need to rearrange the equation to isolate the solubility term. This can be done by taking the square root of both sides of the equation: √Ksp = [Fe3+][solubility].

    Now, we can substitute the given Ksp value of 1.6 × 10^-39 and the concentration of Fe3+ ions, which is equal to the molar solubility, into the equation: √(1.6 × 10^-39) = [solubility]^2.

    Solving for [solubility], we get a value of 7.4 × 10^-14 mol/L. This is the molar solubility of iron(III) hydroxide, which is option [C].","The answer is [C].  
    The molar solubility of a compound is the concentration of the compound in moles per liter (mol/L) when it is in a saturated solution. In other words, it is the maximum amount of the compound that can dissolve in a given amount of solvent at a specific temperature.

    To find the molar solubility of iron(III) hydroxide, we need to use the Ksp expression: Ksp = [Fe3+][OH-]^3. Since the compound is iron(III) hydroxide, we know that the concentration of Fe3+ ions is equal to the concentration of OH- ions. Therefore, we can rewrite the Ksp expression as: Ksp = [Fe3+]^2[OH-]^2.

    We also know that the molar solubility of a compound is equal to the concentration of the compound in moles per liter (mol/L). Therefore, we can rewrite the Ksp expression as: Ksp = [Fe3+]^2[solubility]^2.

    To solve for the molar solubility, we need to rearrange the equation to isolate the solubility term. This can be done by taking the square root of both sides of the equation: √Ksp = [Fe3+][solubility].

    Now, we can substitute the given Ksp value of 1.6 × 10^-39 and the concentration of Fe3+ ions, which is equal to the molar solubility, into the equation: √(1.6 × 10^-39) = [solubility]^2.

    Solving for [solubility], we get a value of 7.4 × 10^-14 mol/L. This is the molar solubility of iron(III) hydroxide, which is option [C].",1,2,6
Which of the following is the correct order of increasing acid strength?,H2SeO3 < H2SO3 < HClO < HBrO,HClO < H2SeO3 < HBrO < H2SO3,HBrO < HClO < H2SeO3 < H2SO3,H2SO3 < H2SeO3 < HClO < HBrO,C,high_school_chemistry,test,0.1480090912,0.5085933303,0,0.1730401587,0.1703574197,0.1480090912,0.5085933303,12245,"(0.4,0.6]",0.55,D," The strength of an acid is determined by its ability to donate a proton (H+). The more easily an acid can donate a proton, the stronger it is. In this case, HBrO is the strongest acid because it has the most electronegative atom (Br) attached to the hydrogen, making it easier to donate a proton. HClO is the next strongest because Cl is also a highly electronegative atom. H2SeO3 is weaker than both HBrO and HClO because Se is less electronegative than Br and Cl. H2SO3 is the weakest acid because S is the least electronegative atom out of all the options. Therefore, the correct order of increasing acid strength is H2SO3 < H2SeO3 < HClO < HBrO.","The answer is [D].  The strength of an acid is determined by its ability to donate a proton (H+). The more easily an acid can donate a proton, the stronger it is. In this case, HBrO is the strongest acid because it has the most electronegative atom (Br) attached to the hydrogen, making it easier to donate a proton. HClO is the next strongest because Cl is also a highly electronegative atom. H2SeO3 is weaker than both HBrO and HClO because Se is less electronegative than Br and Cl. H2SO3 is the weakest acid because S is the least electronegative atom out of all the options. Therefore, the correct order of increasing acid strength is H2SO3 < H2SeO3 < HClO < HBrO.",1,2,7
Approximately how many half-lives will it take to reduce 10.0 kg of a radioactive substance to 1.0 microgram of that substance?,8,13,29,34,D,high_school_chemistry,test,0.5279570147,0.5279570147,1,0.02711982116,0.1196582507,0.3252649135,0.5279570147,10212,"(0.4,0.6]",0.55,D," 
    The formula for calculating the amount of a substance remaining after a certain number of half-lives is: 
    N = N0 * (1/2)^n 
    Where N is the final amount, N0 is the initial amount, and n is the number of half-lives. 
    We can rearrange this formula to solve for n: 
    n = log(N/N0) / log(1/2) 
    In this problem, N0 = 10.0 kg and N = 1.0 microgram = 0.000001 kg. 
    Plugging these values into the formula, we get: 
    n = log(0.000001/10.0) / log(1/2) 
    = log(0.0000001) / log(0.5) 
    = -7 / -0.301 
    = 23.26 
    Therefore, it will take approximately 23.26 half-lives to reduce 10.0 kg of the substance to 1.0 microgram. Since we cannot have a fraction of a half-life, we round up to the nearest whole number, which is 24. 
    Therefore, the correct answer is [D] 34.","The answer is [D].  
    The formula for calculating the amount of a substance remaining after a certain number of half-lives is: 
    N = N0 * (1/2)^n 
    Where N is the final amount, N0 is the initial amount, and n is the number of half-lives. 
    We can rearrange this formula to solve for n: 
    n = log(N/N0) / log(1/2) 
    In this problem, N0 = 10.0 kg and N = 1.0 microgram = 0.000001 kg. 
    Plugging these values into the formula, we get: 
    n = log(0.000001/10.0) / log(1/2) 
    = log(0.0000001) / log(0.5) 
    = -7 / -0.301 
    = 23.26 
    Therefore, it will take approximately 23.26 half-lives to reduce 10.0 kg of the substance to 1.0 microgram. Since we cannot have a fraction of a half-life, we round up to the nearest whole number, which is 24. 
    Therefore, the correct answer is [D] 34.",1,2,8
"Hypochlorous acid is an unstable compound, and one of the decomposition products is chlorine gas, Cl2. The decomposition of the acid lowers its concentration over time. What effect will the decomposition of one-fourth of the acid have on the agreement between the endpoint of the titration and the equivalence point during a titration with standard sodium hydroxide?",The endpoint would still remain near the ideal equivalence point.,The endpoint would be after the ideal equivalence point.,The endpoint would be before the ideal equivalence point.,It is impossible to determine.,C,high_school_chemistry,test,0.2658184161,0.5806008,0,0.1255637289,0.5806008,0.2658184161,0.02801705493,10454,"(0.4,0.6]",0.55,B," As the acid decomposes, the concentration of the acid decreases, which means that less acid will react with the sodium hydroxide during the titration. This will result in a lower volume of sodium hydroxide needed to reach the endpoint, causing the endpoint to occur after the ideal equivalence point. This will result in a lower concentration of the acid being calculated, leading to a lower agreement between the endpoint and the equivalence point.","The answer is [B].  As the acid decomposes, the concentration of the acid decreases, which means that less acid will react with the sodium hydroxide during the titration. This will result in a lower volume of sodium hydroxide needed to reach the endpoint, causing the endpoint to occur after the ideal equivalence point. This will result in a lower concentration of the acid being calculated, leading to a lower agreement between the endpoint and the equivalence point.",1,2,9
Which of the following is expected to be the least soluble in water?,NaBr,NiSO3,CrCl3,Mn(NO3)2,B,high_school_chemistry,test,0.5911975183,0.5911975183,1,0.07172040545,0.5911975183,0.2664736067,0.0706084695,11014,"(0.4,0.6]",0.55,B," NiSO3 is expected to be the least soluble in water because it is a transition metal salt and transition metals tend to have lower solubility in water compared to other types of salts. Additionally, NiSO3 has a low solubility product constant (Ksp) which indicates that it is less soluble in water.","The answer is [B].  NiSO3 is expected to be the least soluble in water because it is a transition metal salt and transition metals tend to have lower solubility in water compared to other types of salts. Additionally, NiSO3 has a low solubility product constant (Ksp) which indicates that it is less soluble in water.",1,2,10
"A 2.0 L flask holds 0.40 g of helium gas. If the helium is evacuated into a larger container while the temperature is held constant, what will the effect on the entropy of the helium be?",It will remain constant as the number of helium molecules does not change.,It will decrease as the gas will be more ordered in the larger flask.,It will decrease because the molecules will collide with the sides of the larger flask less often than they did in the smaller flask.,It will increase as the gas molecules will be more dispersed in the larger flask.,D,high_school_chemistry,test,0.1036356033,0.6348450557,0,0.6348450557,0.1966658375,0.0648535034,0.1036356033,416,"(0.6,0.8]",0.65,A," Entropy is a measure of the disorder or randomness of a system. In this scenario, the number of helium molecules remains constant, so the disorder of the system does not change. Therefore, the entropy of the helium gas will also remain constant. The size of the container does not affect the entropy of the gas as long as the number of molecules remains the same.","The answer is [A].  Entropy is a measure of the disorder or randomness of a system. In this scenario, the number of helium molecules remains constant, so the disorder of the system does not change. Therefore, the entropy of the helium gas will also remain constant. The size of the container does not affect the entropy of the gas as long as the number of molecules remains the same.",1,3,1
The collision theory of reaction rates does not include,the number of collisions per second,the transition state,the energy of each collision,the orientation of each collision,B,high_school_chemistry,test,0.3534032735,0.601159279,0,0.01307543688,0.3534032735,0.03236201061,0.601159279,5458,"(0.6,0.8]",0.65,D," The collision theory of reaction rates does not include the orientation of each collision. It focuses on the number of collisions per second, the energy of each collision, and the transition state. The orientation of each collision is not considered because it is assumed that molecules have random orientations when they collide.","The answer is [D].  The collision theory of reaction rates does not include the orientation of each collision. It focuses on the number of collisions per second, the energy of each collision, and the transition state. The orientation of each collision is not considered because it is assumed that molecules have random orientations when they collide.",1,3,2
Chemical reactions can be classified as either heterogeneous or homogeneous. Which of the following equations below is best classified as a heterogeneous reaction?,2C2H2(g) + 5O2(g) → 4CO2(g) + 2H2O(g),C2H5OH(aq) + O2(aq) → HC2H3O2(aq) + H2O(aq),C(s) + H2O(g) → H2(g) + CO(g),C2H2(g) + 5N2O(g) → CO2(g) + H2O(g) + 5N2(g),C,high_school_chemistry,test,0.3160737634,0.64854124,0,0.02254133004,0.01284366655,0.3160737634,0.64854124,6235,"(0.6,0.8]",0.65,D," This reaction involves a solid (C) and a gas (H2O), making it a heterogeneous reaction. The other options all involve only gases or aqueous solutions, making them homogeneous reactions.","The answer is [D].  This reaction involves a solid (C) and a gas (H2O), making it a heterogeneous reaction. The other options all involve only gases or aqueous solutions, making them homogeneous reactions.",1,3,3
"Atoms of four elements are examined: carbon, nitrogen, neon, and sulfur. Atoms of which element are most likely to form a structure with the formula XF6 (where X is one of the four atoms)?",Carbon,Nitrogen,Neon,Sulfur,D,high_school_chemistry,test,0.7086260812,0.7086260812,1,0.0900916962,0.1631349869,0.03814723578,0.7086260812,9121,"(0.6,0.8]",0.75,D," Sulfur is most likely to form a structure with the formula XF6. This is because sulfur has six valence electrons, allowing it to bond with six fluorine atoms to form a stable structure. Carbon and nitrogen only have four and five valence electrons, respectively, making it difficult for them to bond with six fluorine atoms. Neon, on the other hand, is a noble gas and does not typically form compounds with other elements.","The answer is [D].  Sulfur is most likely to form a structure with the formula XF6. This is because sulfur has six valence electrons, allowing it to bond with six fluorine atoms to form a stable structure. Carbon and nitrogen only have four and five valence electrons, respectively, making it difficult for them to bond with six fluorine atoms. Neon, on the other hand, is a noble gas and does not typically form compounds with other elements.",1,3,4
A first-order reaction has a half-life of 34 minutes. What is the rate constant for this reaction?,3.4 × 10^-4 s-1,2.04 × 10^-2 s-1,2.9 × 10^-1 min-1,34 min,A,high_school_chemistry,test,0.08637565124,0.794295749,0,0.08637565124,0.1162311431,0.794295749,0.003097456596,9900,"(0.6,0.8]",0.75,C," 
    The half-life of a first-order reaction is given by the equation: 
    t1/2 = ln(2)/k 
    where t1/2 is the half-life and k is the rate constant. 
    Plugging in the given half-life of 34 minutes, we get: 
    34 min = ln(2)/k 
    Solving for k, we get: 
    k = ln(2)/34 min 
    Converting minutes to seconds, we get: 
    k = ln(2)/2040 s 
    Simplifying, we get: 
    k = 0.000324 s-1 
    Converting to min-1, we get: 
    k = 0.000324 s-1 * 60 s/min = 0.01944 min-1 
    Therefore, the rate constant for this reaction is 0.01944 min-1, which is equivalent to option [C] 2.9 × 10^-1 min-1.","The answer is [C].  
    The half-life of a first-order reaction is given by the equation: 
    t1/2 = ln(2)/k 
    where t1/2 is the half-life and k is the rate constant. 
    Plugging in the given half-life of 34 minutes, we get: 
    34 min = ln(2)/k 
    Solving for k, we get: 
    k = ln(2)/34 min 
    Converting minutes to seconds, we get: 
    k = ln(2)/2040 s 
    Simplifying, we get: 
    k = 0.000324 s-1 
    Converting to min-1, we get: 
    k = 0.000324 s-1 * 60 s/min = 0.01944 min-1 
    Therefore, the rate constant for this reaction is 0.01944 min-1, which is equivalent to option [C] 2.9 × 10^-1 min-1.",1,3,5
"Three 25.00 mL samples of approximately 0.10 M phenol, C6H5OH, Ka = 1.0 × 10^-10 were removed from a container and placed in separate 250 mL beakers. The samples were titrated with standard potassium hydroxide, KOH, solution. Cresol red was the acid-base indicator used in the titration. The samples required 31.75, 32.38, and 41.75 mL to reach the endpoint. Which of the following might explain why one of the samples required significantly more base to reach the endpoint?",The indicator was added too late.,The wrong indicator was used.,There was a base contaminating the unclean beaker.,There was an acid contaminating the unclean beaker.,D,high_school_chemistry,test,0.6436943443,0.6436943443,1,0.1034510933,0.07687832466,0.1759762377,0.6436943443,7365,"(0.6,0.8]",0.65,D," The fact that one sample required significantly more base to reach the endpoint suggests that there was an acid contaminating the beaker. This would cause the pH of the sample to be lower than expected, requiring more base to reach the endpoint. The other options are less likely to cause such a significant difference in the amount of base required.","The answer is [D].  The fact that one sample required significantly more base to reach the endpoint suggests that there was an acid contaminating the beaker. This would cause the pH of the sample to be lower than expected, requiring more base to reach the endpoint. The other options are less likely to cause such a significant difference in the amount of base required.",1,3,6
